매장명,주소,지역,동,위도,경도
거제계룡점,경남 거제시 계룡로 62 (상동동),거제시,상동동,34.8762624,128.6260928
거제고현점,경남 거제시 거제중앙로29길 13 (고현동),거제시,고현동,34.8910141,128.6272496
거제고현중앙점,"경남 거제시 거제중앙로24길 13 (고현동, 도영빌딩)",거제시,고현동,34.8888306,128.6244137
거제상동점,경남 거제시 상동5길 25 (상동동),거제시,상동동,34.8674851,128.6355537
거제서정점,경남 거제시 거제면 거제남서로 3471 (서정리),거제시,서정리,34.8574354,128.5900798
거제아주동점,경남 거제시 아주1로2길 26-1 (아주동),거제시,아주동,34.867307,128.689163
거제장목점,경남 거제시 장목면 옥포대첩로 1143 (시방리),거제시,시방리,34.9588313,128.7073823
거제장평점,경남 거제시 장평로 20 (장평동),거제시,장평동,34.8914083,128.6151043
경남거창점,경남 거창군 거창읍 강변로 119,거창군,,35.6844703,127.9101233
경남고성점,경남 고성군 고성읍 동외로 137 (동외리),고성군,동외리,34.9735228,128.3256045
고성간성점,강원특별자치도 고성군 간성읍 간성로 66,고성군,,38.3795942,128.4677003
고성경동대점,강원 고성군 토성면 봉포4길 18 (봉포리),고성군,봉포리,38.25298530000001,128.5617828
김해경원고교점,경남 김해시 우암로 21-1 (외동),김해시,외동,35.2327276,128.8601859
김해내동래미안점,경남 김해시 구지로 54 (내동),김해시,내동,35.2393353,128.8690376
김해내외동점,경남 김해시 내외중앙로 48 (외동),김해시,외동,35.2341433,128.86692
김해대청계곡점,경남 김해시 대청계곡길 176 (대청동),김해시,대청동,35.1841229,128.7759296
김해대청동점,"경남 김해시 번화1로44번길 20 (대청동, 위드투빌딩)",김해시,대청동,35.1914418,128.8028544
김해삼계동점,경남 김해시 해반천로144번길 35-19 (삼계동),김해시,삼계동,35.262188,128.8708499
김해삼계해반천점,경남 김해시 가야로22번길 3-4 (삼계동),김해시,삼계동,35.2693093,128.8630041
김해삼정점,경남 김해시 활천로36번길 34-4 (삼정동),김해시,삼정동,35.2323776,128.896671
김해서부문화센터점,경남 김해시 율하2로 218 (율하동),김해시,율하동,35.1732557,128.8205491
김해시청점,경남 김해시 호계로422번길 16 (부원동),김해시,부원동,35.2281816,128.8869252
김해아이스퀘어점,경남 김해시 김해대로 2342 (부원동),김해시,부원동,35.2250721,128.8832573
김해연지공원점,경남 김해시 금관대로1368번길 4 (내동),김해시,내동,35.24446350000001,128.8671233
김해연지구산점,경남 김해시 해반천로 14 (구산동),김해시,구산동,35.2501029,128.870027
김해외동사거리점,경남 김해시 금관대로 1165 (외동),김해시,외동,35.2374585,128.8523192
김해율하중앙점,경남 김해시 율하3로 38 (율하동),김해시,율하동,35.1713317,128.8142575
김해인제로점,경남 김해시 인제로 89 (어방동),김해시,어방동,35.2366126,128.9042733
김해장유점,경남 김해시 능동로155번길 10-5 (부곡동),김해시,부곡동,35.2033084,128.8077839
김해젤미마을점,"경남 김해시 번화1로80번길 5 (대청동, 메카메디칼빌딩)",김해시,대청동,35.1947143,128.800028
김해조은금강병원점,경남 김해시 김해대로 1814-37 (삼계동),김해시,삼계동,35.2622829,128.860814
김해지내동점,"경남 김해시 분성로727번길 2 (지내동, 대호빌딩)",김해시,지내동,35.2311931,128.9214533
김해진영본산점,경남 김해시 진영읍 본산로 27-18 (여래리),김해시,여래리,35.3082595,128.7365746
김해터미널점,경남 김해시 전하로304번길 23 (외동),김해시,외동,35.2311097,128.8712795
김해한림점,경남 김해시 한림면 김해대로 1464,김해시,,35.27691310000001,128.8321747
김해홈플러스점,"경남 김해시 김해대로 2078 (내동, 삼성홈플러스)",김해시,내동,35.2418274,128.8701777
김해흥동점,경남 김해시 흥동로 42 (흥동),김해시,흥동,35.2220841,128.853207
경남남해점,경남 남해군 남해읍 화전로 59 (남변리),남해군,남변리,34.8366091,127.8942419
남해앵강점,경남 남해군 이동면 남서대로 208 (화계리),남해군,화계리,34.7815139,127.9435449
밀양내이동점,경남 밀양시 중앙로 381 (내이동),밀양시,내이동,35.5041714,128.7339219
밀양삼랑진점,경남 밀양시 삼랑진읍 천태로 12 (송지리),밀양시,송지리,35.3971221,128.8535506
밀양삼문동점,경남 밀양시 미리벌로2길 20 (삼문동),밀양시,삼문동,35.4825298,128.7476591
밀양시청점,경남 밀양시 시청로1길 4 (내이동),밀양시,내이동,35.5039161,128.7446458
밀양얼음골점,경남 밀양시 산내면 얼음골옛길 358-9 (남명리),밀양시,남명리,35.5774812,128.9831137
밀양역DI점,경남 밀양시 가곡4길 15 (가곡동),밀양시,가곡동,35.4726998,128.7692443
사천사주리점,경남 사천시 정동면 진삼로 1414 (고읍리),사천시,고읍리,35.0775466,128.0855166
사천선진점,경남 사천시 용현면 진삼로 953-6 (선진리),사천시,선진리,35.036463,128.039269
사천시청점,경남 사천시 용현면 용현로 31 (덕곡리),사천시,덕곡리,35.0017453,128.0622447
사천실안점,경남 사천시 해안관광로 21 (실안동),사천시,실안동,34.9417279,128.0435546
삼천포점,경남 사천시 동금2길 31 (동금동),사천시,동금동,34.9315009,128.0779996
산청단성강변점,경남 산청군 단성면 지리산대로3362번길 42 (강누리),산청군,강누리,35.3039503,127.9659899
산청점,경남 산청군 산청읍 산엔청로 15 (옥산리),산청군,옥산리,35.4149093,127.8752728
양산가촌점,경남 양산시 물금읍 백호로 34 (가촌리),양산시,가촌리,35.3203762,128.9993869
양산금산점,경남 양산시 동면 금오3길 10 (금산리),양산시,금산리,35.309854,129.0235891
양산매곡점,경남 양산시 외산길 47 (덕계동),양산시,덕계동,35.3715777,129.1574163
양산북정점,"경남 양산시 북정로 17 (북정동, EDIYA COFFEE)",양산시,북정동,35.3592298,129.0423595
양산사송점,경남 양산시 동면 내송내안1길 33 (내송리),양산시,내송리,35.3245026,129.0781299
양산상북점,"경남 양산시 상북면 반회서5길 7 (석계리, 햇님숯불산꼼장어전문점)",양산시,석계리,35.4140361,129.0591549
양산석산점,경남 양산시 동면 금오16길 16 (석산리),양산시,석산리,35.3176151,129.0271172
양산소주점,경남 양산시 소주회야로 45-40 (소주동),양산시,소주동,35.4069087,129.1572756
양산역점,경남 양산시 양산역7길 14 (중부동),양산시,중부동,35.3384655,129.0276702
양산증산점,"경남 양산시 물금읍 증산역로 136 (증산리, 나래클래스)",양산시,증산리,35.3100471,129.0047087
양산평산동점,경남 양산시 평산북1길 11 (평산동),양산시,평산동,35.3863174,129.155262
